Item,Tipologia,Autore,Titolo,Data,Tecnica,Collocazione
1,Tela,"Tadini,Emilio",Vita di Voltaire,1967,Acrilico su tela,Spazio Tadini
2,Scritto,"Tadini,Emilio",L'insieme delle cose,1991,Stampa,Biblioteca Universitaria di Genova [e altre sedi]
3,Tela,"Tadini,Emilio",Viaggio in Italia,1970,Acrilico su tela,Fondazione Marconi
4,Tela,"Tadini,Emilio",Paesaggio di Malevič,1972,Acrilico su tela,Museo della Città-Polo Culturale Bottini dell'Olio
5,Trittico,"Tadini,Emilio",Il ballo dei filosofi,1996,Acrilico su tela,Spazio Tadini
6,Tela,"Tadini,Emilio",Profugo,1988,Acrilico su tela,Spazio Tadini
7,Trittico,"Tadini,Emilio",Insomnia Night,1989,Acrilico su tela,Fondazione Marconi
8,Trittico,"Tadini,Emilio",Fiaba,1999,Acrilico su tela,Spazio Tadini
9,Tela,"Tadini,Emilio",Allegoria in memoria di Emilio Lancia e Angelica Ricciardi,1988,Acrilico su tela,Policlinico di Milano
10,Scritto,"Tadini,Emilio",L'occhio della pittura,1995,Inchiostro su carta,Biblioteca Universitaria di Genova [e altre sedi]
11,Architettura,"Tadini, Emilio; Pardi, Gianfranco; Colombo, Gianni",Borgotordo,1979,Acrilico su tela,Mirandola (Modena)
12,Architettura,"Tadini, Emilio; Sigismondi, Roberto",Orologio della Concordia,1997,Acrilico su tela,Canteri Culturale alla Zisa (Palermo)
13,Illustrazione,"Tadini,Emilio",Il volo degli uccelli di Italo Calvino,1967,"Inchiostro in bianco e nero
[Penna rossa per i bozzetti]",Collezione privata
14,Illustrazione,"Tadini,Emilio",Paradiso perduto di John Milton ,1992,Matita su carta,Spazio Tadini
15,Trittico,"Tadini,Emilio",L'occhio della pittura,1978,Acrilico su tela,Collezione privata
16,Video,,Lezioni d'autore|Emilio Tadini,2001,Digitale,Università Telematica Uninettuno [ricaricato su YouTube]
17,Trittico,"Tadini,Emilio",Corridore notturno,1989,Acrilico su tela,Fondazione Marconi
18,Tela,"Tadini,Emilio",Archeologia,1979,Acrilico su tela,Fondazione Marconi
19,Tela,"Tadini,Emilio",Città italiana,1988,Acrilico su tela,Fondazione Marconi
20,Video,,Francesco Tadini legge da L'insieme delle cose di Emilio Tadini,2012-04-09,Digitale,YouTube
